"node","total_degree"
"R-CEL-9013425","3"
"R-BTA-392023","3"
"R-CEL-111931","3"
"R-CEL-389599","3"
"R-GGA-72613","3"
"R-SSC-8853659","3"
"R-GGA-9696273","3"
"C538349","3"
"R-SCE-75944","3"
"R-HSA-4839726","3"
"R-DRE-71737","3"
"R-GGA-1606322","3"
"R-SSC-5654689","3"
"R-DDI-9711097","3"
"R-SPO-2404192","3"
"R-GGA-73776","3"
"R-DRE-8853884","3"
"R-HSA-9664433","3"
"R-HSA-5619092","3"
"R-DME-168928","3"
"C564133","3"
"R-DME-163359","3"
"R-RNO-211957","3"
"R-MMU-69613","3"
"R-SPO-9833482","3"
"R-BTA-5690714","3"
"R-RNO-1855231","3"
"R-MMU-110328","3"
"R-BTA-5250913","3"
"R-SSC-2160916","3"
"R-MMU-5250913","3"
"R-CEL-69541","3"
"R-DME-83936","3"
"R-BTA-450520","3"
"R-XTR-909733","3"
"R-GGA-438066","3"
"R-DDI-8877627","3"
"R-BTA-6785631","3"
"R-DRE-2980766","3"
"R-HSA-5619067","3"
"R-CFA-453276","3"
"R-DDI-442742","3"
"R-GGA-1489509","3"
"R-DDI-9833482","3"
"MIM:620383","3"
"R-RNO-9759476","3"
"R-XTR-1362409","3"
"R-DRE-1980143","3"
"R-SCE-168181","3"
"R-SCE-5362517","3"
"R-SCE-69306","3"
"R-RNO-156902","3"
"R-SSC-389357","3"
"R-SCE-6807047","3"
"R-RNO-9006927","3"
"R-CFA-210745","3"
"R-DRE-6783783","3"
"R-SSC-112303","3"
"R-HSA-5674404","3"
"R-GGA-9764260","3"
"R-CEL-1250196","3"
"R-XTR-9715370","3"
"R-RNO-113510","3"
"R-HSA-2206282","3"
"R-HSA-5619043","3"
"R-XTR-400451","3"
"R-SCE-913531","3"
"R-SSC-2161517","3"
"R-PFA-69242","3"
"R-XTR-211976","3"
"R-SSC-373752","3"
"R-DME-8963898","3"
"R-XTR-1433557","3"
"R-SCE-2161522","3"
"R-SSC-190239","3"
"R-SPO-9006936","3"
"MIM:620222","3"
"C566044","3"
"R-CEL-194138","3"
"R-SSC-3371511","3"
"R-SSC-77305","3"
"R-SSC-3214841","3"
"R-DRE-195253","3"
"R-RNO-69613","3"
"R-SPO-2393930","3"
"R-RNO-196819","3"
"R-SCE-397014","3"
"R-SSC-9008059","3"
"R-DME-399719","3"
"R-SSC-212676","3"
"C563387","3"
"MIM:613013","3"
"R-GGA-416993","3"
"R-PFA-75955","3"
"R-GGA-1483115","3"
"R-DRE-2871796","3"
"R-SPO-379716","3"
"MIM:620353","3"
"R-SSC-9749641","3"
"C562805","3"
"MIM:301010","3"
"R-HSA-5619063","3"
"R-XTR-73942","3"
"R-SCE-72312","3"
"R-XTR-9018683","3"
"R-MMU-1855231","3"
"R-CFA-194313","3"
"R-HSA-5619042","3"
"R-CEL-2408557","3"
"R-DRE-110056","3"
"R-SCE-77286","3"
"R-XTR-72172","3"
"R-RNO-75158","3"
"R-BTA-193144","3"
"R-SSC-380615","3"
"R-RNO-211994","3"
"R-DME-964739","3"
"R-DRE-5423646","3"
"R-CEL-6806667","3"
"R-CFA-174414","3"
"R-XTR-5654726","3"
"R-DRE-74749","3"
"R-RNO-9640463","3"
"R-DRE-426048","3"
"R-BTA-419812","3"
"MIM:301082","3"
"R-CFA-168188","3"
"R-SCE-168643","3"
"R-GGA-111464","3"
"R-DDI-69563","3"
"R-DME-880009","3"
"R-HSA-5619071","3"
"C565792","3"
"R-CEL-165160","3"
"R-PFA-549132","3"
"R-DRE-381676","3"
"R-DRE-9758274","3"
"R-DRE-1660517","3"
"R-PFA-425410","3"
"R-DRE-77346","3"
"R-CEL-9734091","3"
"R-BTA-9603381","3"
"R-SSC-141424","3"
"R-SPO-425561","3"
"R-SPO-2980766","3"
"R-CEL-399721","3"
"R-SPO-69615","3"
"R-PFA-111471","3"
"R-DDI-9026762","3"
"R-HSA-109703","3"
"R-DME-69306","3"
"R-RNO-500753","3"
"R-GGA-140342","3"
"R-DRE-141333","3"
"C536039","3"
"R-SCE-156588","3"
"R-DME-190373","3"
"R-SSC-5365859","3"
"R-CFA-166166","3"
"R-RNO-1483148","3"
"R-DDI-6806003","3"
"R-BTA-139910","3"
"MIM:300645","3"
"R-DME-446343","3"
"C564624","3"
"R-GGA-163615","3"
"R-DRE-193144","3"
"R-BTA-8953897","3"
"R-CEL-381771","3"
"R-PFA-196071","3"
"R-GGA-203927","3"
"R-CEL-9758941","3"
"R-XTR-156584","3"
"MIM:620409","3"
"R-DRE-198933","3"
"R-RNO-1307965","3"
"C565824","3"
"R-CEL-444257","3"
"R-RNO-2559584","3"
"R-GGA-433794","3"
"R-CFA-5693537","3"
"R-CFA-69236","3"
"C537748","3"
"R-SPO-3858494","3"
"R-GGA-9020956","3"
"R-DRE-977444","3"
"R-CEL-419812","3"
"R-DRE-9617828","3"
"R-SSC-110331","3"
"R-CFA-5654732","3"
"R-MMU-1483076","3"
"R-SPO-68884","3"
"R-CFA-8949215","3"
"R-DME-1912422","3"
"R-DRE-9843745","3"
"R-CFA-774815","3"
"R-GGA-933542","3"
"R-HSA-9669924","3"
"C567129","3"
"R-RNO-8849472","3"
"R-SSC-74259","3"
"R-XTR-69231","3"
"R-DME-6783984","3"
"R-CEL-69236","3"
"R-DRE-186712","3"
"R-CFA-72662","3"
"R-HSA-5619077","3"
"R-DME-9006927","3"
"R-CEL-6783984","3"
"C563052","3"
"R-HSA-9669934","3"
"R-HSA-5619097","3"
"R-DDI-196836","3"
"R-BTA-9861718","3"
"R-SPO-1660662","3"
"R-DME-2022090","3"
"R-BTA-444411","3"
"R-GGA-9013700","3"
"R-CEL-937061","3"
"C563218","3"
"R-GGA-5652227","3"
"R-DDI-450282","3"
"R-GGA-5627117","3"
"R-CEL-1482798","3"
"R-RNO-5624138","3"
"R-DDI-180786","3"
"R-SSC-8964058","3"
"R-SCE-8868773","3"
"R-SSC-197264","3"
"R-GGA-964739","3"
"R-SPO-5693537","3"
"R-XTR-453276","3"
"R-XTR-156587","3"
"R-DRE-8963676","3"
"R-SCE-3858494","3"
"R-BTA-9026527","3"
"R-SPO-983189","3"
"R-CFA-425410","3"
"R-DME-8963889","3"
"R-DDI-2142688","3"
"R-CEL-166187","3"
"R-XTR-397014","3"
"R-HSA-5638302","3"
"R-BTA-879518","3"
"R-BTA-9013425","3"
"R-SPO-163125","3"
"R-DRE-6814848","3"
"C537519","3"
"R-SPO-264876","3"
"R-RNO-69236","3"
"R-MMU-8963743","3"
"R-BTA-444821","3"
"R-DME-390648","3"
"R-CEL-168188","3"
"R-CEL-156842","3"
"C566636","3"
"R-DDI-111996","3"
"R-PFA-9006927","3"
"R-DME-1296059","3"
"R-CFA-1650814","3"
"R-GGA-6785631","3"
"R-SCE-211976","3"
"R-GGA-168188","3"
"R-GGA-8868773","3"
"C562477","3"
"C564249","3"
"R-BTA-9759218","3"
"R-GGA-72200","3"
"R-DDI-2408557","3"
"R-XTR-202131","3"
"R-CEL-157579","3"
"R-SSC-173623","3"
"R-SSC-8849471","3"
"R-SSC-8849474","3"
"R-HSA-5579016","3"
"R-XTR-427652","3"
"R-RNO-392851","3"
"MIM:302045","3"
"R-SCE-8963678","3"
"R-CEL-156902","3"
"R-DDI-77348","3"
"C567337","3"
"R-DDI-170834","3"
"R-DDI-9759218","3"
"R-CFA-1852241","3"
